unicef_region,year,vaccine,vaccine_code,vaccine_name,vaccine_description,coverage
WCAR,2013,HPV,PRHPV1_M,HPV1 Males,Target population who received the first dose of HPV vaccine in the reporting year (Males),0
WCAR,2014,HPV,PRHPV1_M,HPV1 Males,Target population who received the first dose of HPV vaccine in the reporting year (Males),0
WCAR,2015,HPV,PRHPV1_M,HPV1 Males,Target population who received the first dose of HPV vaccine in the reporting year (Males),0
WCAR,2016,HPV,PRHPV1_M,HPV1 Males,Target population who received the first dose of HPV vaccine in the reporting year (Males),0
WCAR,2017,HPV,PRHPV1_M,HPV1 Males,Target population who received the first dose of HPV vaccine in the reporting year (Males),0
WCAR,2018,HPV,PRHPV1_M,HPV1 Males,Target population who received the first dose of HPV vaccine in the reporting year (Males),0
WCAR,2019,HPV,PRHPV1_M,HPV1 Males,Target population who received the first dose of HPV vaccine in the reporting year (Males),0
WCAR,2020,HPV,PRHPV1_M,HPV1 Males,Target population who received the first dose of HPV vaccine in the reporting year (Males),0
WCAR,2021,HPV,PRHPV1_M,HPV1 Males,Target population who received the first dose of HPV vaccine in the reporting year (Males),0
WCAR,2022,HPV,PRHPV1_M,HPV1 Males,Target population who received the first dose of HPV vaccine in the reporting year (Males),0
WCAR,2023,HPV,PRHPV1_M,HPV1 Males,Target population who received the first dose of HPV vaccine in the reporting year (Males),1
WCAR,2024,HPV,PRHPV1_M,HPV1 Males,Target population who received the first dose of HPV vaccine in the reporting year (Males),1
WCAR,2010,HPV,PRHPVC_F,HPVc Females,Target population who received the last dose of HPV vaccine in the reporting year (Females),0
WCAR,2011,HPV,PRHPVC_F,HPVc Females,Target population who received the last dose of HPV vaccine in the reporting year (Females),0
WCAR,2012,HPV,PRHPVC_F,HPVc Females,Target population who received the last dose of HPV vaccine in the reporting year (Females),0
WCAR,2013,HPV,PRHPVC_F,HPVc Females,Target population who received the last dose of HPV vaccine in the reporting year (Females),0
WCAR,2014,HPV,PRHPVC_F,HPVc Females,Target population who received the last dose of HPV vaccine in the reporting year (Females),0
WCAR,2015,HPV,PRHPVC_F,HPVc Females,Target population who received the last dose of HPV vaccine in the reporting year (Females),0
WCAR,2016,HPV,PRHPVC_F,HPVc Females,Target population who received the last dose of HPV vaccine in the reporting year (Females),0
WCAR,2017,HPV,PRHPVC_F,HPVc Females,Target population who received the last dose of HPV vaccine in the reporting year (Females),0
WCAR,2018,HPV,PRHPVC_F,HPVc Females,Target population who received the last dose of HPV vaccine in the reporting year (Females),0
WCAR,2019,HPV,PRHPVC_F,HPVc Females,Target population who received the last dose of HPV vaccine in the reporting year (Females),1
WCAR,2020,HPV,PRHPVC_F,HPVc Females,Target population who received the last dose of HPV vaccine in the reporting year (Females),2
WCAR,2021,HPV,PRHPVC_F,HPVc Females,Target population who received the last dose of HPV vaccine in the reporting year (Females),3
WCAR,2022,HPV,PRHPVC_F,HPVc Females,Target population who received the last dose of HPV vaccine in the reporting year (Females),4
WCAR,2023,HPV,PRHPVC_F,HPVc Females,Target population who received the last dose of HPV vaccine in the reporting year (Females),23
WCAR,2024,HPV,PRHPVC_F,HPVc Females,Target population who received the last dose of HPV vaccine in the reporting year (Females),36
WCAR,2010,HPV,PRHPVC_M,HPVc Males,Target population who received the last dose of HPV vaccine in the reporting year (Males),0
WCAR,2011,HPV,PRHPVC_M,HPVc Males,Target population who received the last dose of HPV vaccine in the reporting year (Males),0
WCAR,2012,HPV,PRHPVC_M,HPVc Males,Target population who received the last dose of HPV vaccine in the reporting year (Males),0
